2019-03-29 07:46:38.481 [restartedMain] INFO  com.yidatec.CrmApplication -Starting CrmApplication on DESKTOP-UUDR3F4 with PID 276 (E:\WorkSpace\crm\target\classes started by neotd in E:\WorkSpace\crm)
2019-03-29 07:46:38.486 [restartedMain] INFO  com.yidatec.CrmApplication -No active profile set, falling back to default profiles: default
2019-03-29 07:46:38.954 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext -Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@663c54cf: startup date [Fri Mar 29 07:46:38 CST 2019]; root of context hierarchy
2019-03-29 07:46:41.103 [restartedMain] INFO  o.s.b.f.s.DefaultListableBeanFactory -Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Tomcat; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Tomcat.class]]
2019-03-29 07:46:42.722 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer -Tomcat initialized with port(s): 8080 (http)
2019-03-29 07:46:42.738 [restartedMain] INFO  o.a.catalina.core.StandardService -Starting service [Tomcat]
2019-03-29 07:46:42.740 [restartedMain] INFO  o.a.catalina.core.StandardEngine -Starting Servlet Engine: Apache Tomcat/8.5.16
2019-03-29 07:46:42.898 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2019-03-29 07:46:42.898 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader -Root WebApplicationContext: initialization completed in 3944 ms
2019-03-29 07:46:44.283 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'characterEncodingFilter' to: [/*]
2019-03-29 07:46:44.284 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-03-29 07:46:44.285 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019-03-29 07:46:44.285 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'requestContextFilter' to: [/*]
2019-03-29 07:46:44.289 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean -Mapping filter: 'springSecurityFilterChain' to: [/*]
2019-03-29 07:46:44.289 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'usernamePasswordAuthenticationFilter' to: [/*]
2019-03-29 07:46:44.289 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean -Mapping servlet: 'dispatcherServlet' to [/]
2019-03-29 07:46:45.570 [restartedMain] INFO  org.quartz.impl.StdSchedulerFactory -Using default implementation for ThreadExecutor
2019-03-29 07:46:45.593 [restartedMain] INFO  o.quartz.core.SchedulerSignalerImpl -Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2019-03-29 07:46:45.594 [restartedMain] INFO  org.quartz.core.QuartzScheduler -Quartz Scheduler v.2.3.0 created.
2019-03-29 07:46:45.595 [restartedMain] INFO  org.quartz.simpl.RAMJobStore -RAMJobStore initialized.
2019-03-29 07:46:45.597 [restartedMain] INFO  org.quartz.core.QuartzScheduler -Scheduler meta-data: Quartz Scheduler (v2.3.0) 'schedulerFactory' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2019-03-29 07:46:45.601 [restartedMain] INFO  org.quartz.impl.StdSchedulerFactory -Quartz scheduler 'schedulerFactory' initialized from an externally provided properties instance.
2019-03-29 07:46:45.601 [restartedMain] INFO  org.quartz.impl.StdSchedulerFactory -Quartz scheduler version: 2.3.0
2019-03-29 07:46:45.605 [restartedMain] INFO  org.quartz.core.QuartzScheduler -JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@72038d82
2019-03-29 07:46:45.909 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: Ant [pattern='/99/**'], []
2019-03-29 07:46:45.910 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: Ant [pattern='/**/*.js'], []
2019-03-29 07:46:45.910 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: Ant [pattern='/**/favicon.ico'], []
2019-03-29 07:46:45.910 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: Ant [pattern='/img/**'], []
2019-03-29 07:46:45.911 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: Ant [pattern='/upload/**'], []
2019-03-29 07:46:46.146 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain -Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@192150e3, org.springframework.security.web.context.SecurityContextPersistenceFilter@30ba1f9c, org.springframework.security.web.header.HeaderWriterFilter@3da5b6cf, org.springframework.security.web.authentication.logout.LogoutFilter@669fd754, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@54c446f6, org.springframework.security.web.session.ConcurrentSessionFilter@26287a92, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@42e8df67, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@554e453a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4136c2e7, org.springframework.security.web.session.SessionManagementFilter@54d116a5, org.springframework.security.web.access.ExceptionTranslationFilter@3f8212d5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1db8beee]
2019-03-29 07:46:46.788 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter -Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@663c54cf: startup date [Fri Mar 29 07:46:38 CST 2019]; root of context hierarchy
2019-03-29 07:46:46.948 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/activityEdit]}" onto public java.lang.String com.yidatec.controller.ActivityController.activityEdit(org.springframework.ui.ModelMap,java.lang.String)
2019-03-29 07:46:46.949 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/saveActivity]}" onto public java.lang.Object com.yidatec.controller.ActivityController.saveActivity(com.yidatec.model.Activity,org.springframework.validation.BindingResult) throws java.lang.Exception
2019-03-29 07:46:46.950 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/activityList]}" onto public java.lang.String com.yidatec.controller.ActivityController.activities(org.springframework.ui.ModelMap)
2019-03-29 07:46:46.951 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/findActivity]}" onto public java.lang.Object com.yidatec.controller.ActivityController.findActivity(com.yidatec.vo.ActivityVO) throws java.lang.Exception
2019-03-29 07:46:46.953 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/audienceTempleteDownload]}" onto public void com.yidatec.controller.AudienceController.audienceTempleteDownload(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
2019-03-29 07:46:46.955 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/errorFileDownload]}" onto public void com.yidatec.controller.AudienceController.errorFileDownload(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String) throws java.lang.Exception
2019-03-29 07:46:46.956 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/audienceileupload],methods=[POST]}" onto public java.util.Map com.yidatec.controller.AudienceController.audienceileupload(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException
